Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Resumed from /workspace/curriculum_p1.zip
---------------------------------
| rollout/           |          |
|    policy_gradient_loss | -0.00171     |
|    std                  | 0.916        |
|    value_loss           | 0.00345      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 108         |
|    ep_rew_mean          | 0.917       |
| time/                   |             |
|    fps                  | 94          |
|    iterations           | 14          |
|    time_elapsed         | 37          |
|    total_timesteps      | 63744       |
| train/                  |             |
|    approx_kl            | 0.004738815 |
|    clip_fraction        | 0.0672      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.66       |
|    explained_variance   | 0.0216      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.05       |
|    n_updates            | 2480        |
|    policy_gradient_loss | -0.00491    |
|    std                  | 0.914       |
|    value_loss           | 0.0029      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 108         |
|    ep_rew_mean          | 0.917       |
| time/                   |             |
|    fps                  | 94          |
|    iterations           | 15          |
|    time_elapsed         | 40          |
|    total_timesteps      | 64000       |
| train/                  |             |
|    approx_kl            | 0.005531057 |
|    clip_fraction        | 0.0789      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.66       |
|    explained_variance   | -0.00918    |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0343     |
|    n_updates            | 2490        |
|    policy_gradient_loss | -0.00519    |
|    std                  | 0.915       |
|    value_loss           | 0.00319     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 109         |
|    ep_rew_mean          | 0.702       |
| time/                   |             |
|    fps                  | 94          |
|    iterations           | 16          |
|    time_elapsed         | 43          |
|    total_timesteps      | 64256       |
| train/                  |             |
|    approx_kl            | 0.004801521 |
|    clip_fraction        | 0.0434      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.66       |
|    explained_variance   | 0.0127      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0349     |
|    n_updates            | 2500        |
|    policy_gradient_loss | -0.0034     |
|    std                  | 0.919       |
|    value_loss           | 0.00269     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 109          |
|    ep_rew_mean          | 0.703        |
| time/                   |              |
|    fps                  | 94           |
|    iterations           | 17           |
|    time_elapsed         | 46           |
|    total_timesteps      | 64512        |
| train/                  |              |
|    approx_kl            | 0.0041847797 |
|    clip_fraction        | 0.052        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.67        |
|    explained_variance   | 0.0106       |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0367      |
|    n_updates            | 2510         |
|    policy_gradient_loss | -0.00425     |
|    std                  | 0.919        |
|    value_loss           | 0.00246      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 109         |
|    ep_rew_mean          | 0.703       |
| time/                   |             |
|    fps                  | 94          |
|    iterations           | 18          |
|    time_elapsed         | 48          |
|    total_timesteps      | 64768       |
| train/                  |             |
|    approx_kl            | 0.006030529 |
|    clip_fraction        | 0.114       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.67       |
|    explained_variance   | 0.000389    |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0451     |
|    n_updates            | 2520        |
|    policy_gradient_loss | -0.00766    |
|    std                  | 0.924       |
|    value_loss           | 0.00256     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 108         |
|    ep_rew_mean          | 0.916       |
| time/                   |             |
|    fps                  | 94          |
|    iterations           | 19          |
|    time_elapsed         | 51          |
|    total_timesteps      | 65024       |
| train/                  |             |
|    approx_kl            | 0.005998535 |
|    clip_fraction        | 0.0625      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.68       |
|    explained_variance   | 0.0198      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0351     |
|    n_updates            | 2530        |
|    policy_gradient_loss | -0.0051     |
|    std                  | 0.925       |
|    value_loss           | 0.00268     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 108         |
|    ep_rew_mean          | 0.917       |
| time/                   |             |
|    fps                  | 94          |
|    iterations           | 20          |
|    time_elapsed         | 54          |
|    total_timesteps      | 65280       |
| train/                  |             |
|    approx_kl            | 0.008231815 |
|    clip_fraction        | 0.041       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.68       |
|    explained_variance   | -9.7e-05    |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0319     |
|    n_updates            | 2540        |
|    policy_gradient_loss | -0.00331    |
|    std                  | 0.921       |
|    value_loss           | 1.72        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 109          |
|    ep_rew_mean          | 0.705        |
| time/                   |              |
|    fps                  | 94           |
|    iterations           | 21           |
|    time_elapsed         | 56           |
|    total_timesteps      | 65536        |
| train/                  |              |
|    approx_kl            | 0.0092723975 |
|    clip_fraction        | 0.12         |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.67        |
|    explained_variance   | -0.000214    |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0241      |
|    n_updates            | 2550         |
|    policy_gradient_loss | -0.0123      |
|    std                  | 0.921        |
|    value_loss           | 0.00321      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 110         |
|    ep_rew_mean          | 0.495       |
| time/                   |             |
|    fps                  | 95          |
|    iterations           | 22          |
|    time_elapsed         | 59          |
|    total_timesteps      | 65792       |
| train/                  |             |
|    approx_kl            | 0.008044885 |
|    clip_fraction        | 0.0336      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.68       |
|    explained_variance   | -0.015      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0185     |
|    n_updates            | 2560        |
|    policy_gradient_loss | -0.00116    |
|    std                  | 0.924       |
|    value_loss           | 0.00316     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 110         |
|    ep_rew_mean          | 0.495       |
| time/                   |             |
|    fps                  | 94          |
|    iterations           | 23          |
|    time_elapsed         | 62          |
|    total_timesteps      | 66048       |
| train/                  |             |
|    approx_kl            | 0.006478075 |
|    clip_fraction        | 0.0441      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.68       |
|    explained_variance   | 0.00635     |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0253     |
|    n_updates            | 2570        |
|    policy_gradient_loss | -0.00514    |
|    std                  | 0.921       |
|    value_loss           | 0.00277     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 112          |
|    ep_rew_mean          | 0.281        |
| time/                   |              |
|    fps                  | 94           |
|    iterations           | 24           |
|    time_elapsed         | 64           |
|    total_timesteps      | 66304        |
| train/                  |              |
|    approx_kl            | 0.0042899624 |
|    clip_fraction        | 0.0082       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.67        |
|    explained_variance   | -0.00187     |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0274      |
|    n_updates            | 2580         |
|    policy_gradient_loss | -0.00112     |
|    std                  | 0.922        |
|    value_loss           | 0.00286      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 113         |
|    ep_rew_mean          | 0.0693      |
| time/                   |             |
|    fps                  | 95          |
|    iterations           | 25          |
|    time_elapsed         | 67          |
|    total_timesteps      | 66560       |
| train/                  |             |
|    approx_kl            | 0.004618006 |
|    clip_fraction        | 0.0113      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.67       |
|    explained_variance   | 0.0105      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0208     |
|    n_updates            | 2590        |
|    policy_gradient_loss | -0.00135    |
|    std                  | 0.919       |
|    value_loss           | 0.00334     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 113          |
|    ep_rew_mean          | 0.0686       |
| time/                   |              |
|    fps                  | 95           |
|    iterations           | 26           |
|    time_elapsed         | 69           |
|    total_timesteps      | 66816        |
| train/                  |              |
|    approx_kl            | 0.0074249334 |
|    clip_fraction        | 0.0926       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.67        |
|    explained_variance   | -0.0101      |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0328      |
|    n_updates            | 2600         |
|    policy_gradient_loss | -0.00628     |
|    std                  | 0.919        |
|    value_loss           | 0.00277      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 114          |
|    ep_rew_mean          | -0.144       |
| time/                   |              |
|    fps                  | 95           |
|    iterations           | 27           |
|    time_elapsed         | 72           |
|    total_timesteps      | 67072        |
| train/                  |              |
|    approx_kl            | 0.0065784967 |
|    clip_fraction        | 0.104        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.67        |
|    explained_variance   | -0.00295     |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0413      |
|    n_updates            | 2610         |
|    policy_gradient_loss | -0.00816     |
|    std                  | 0.919        |
|    value_loss           | 0.00294      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 114          |
|    ep_rew_mean          | -0.144       |
| time/                   |              |
|    fps                  | 95           |
|    iterations           | 28           |
|    time_elapsed         | 75           |
|    total_timesteps      | 67328        |
| train/                  |              |
|    approx_kl            | 0.0069349776 |
|    clip_fraction        | 0.0453       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.67        |
|    explained_variance   | -0.00156     |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0103      |
|    n_updates            | 2620         |
|    policy_gradient_loss | -0.00242     |
|    std                  | 0.918        |
|    value_loss           | 0.00263      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 113         |
|    ep_rew_mean          | 0.0675      |
| time/                   |             |
|    fps                  | 95          |
|    iterations           | 29          |
|    time_elapsed         | 78          |
|    total_timesteps      | 67584       |
| train/                  |             |
|    approx_kl            | 0.005745992 |
|    clip_fraction        | 0.0762      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.67       |
|    explained_variance   | -0.00687    |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0413     |
|    n_updates            | 2630        |
|    policy_gradient_loss | -0.00792    |
|    std                  | 0.92        |
|    value_loss           | 0.00279     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 113         |
|    ep_rew_mean          | 0.0681      |
| time/                   |             |
|    fps                  | 95          |
|    iterations           | 30          |
|    time_elapsed         | 80          |
|    total_timesteps      | 67840       |
| train/                  |             |
|    approx_kl            | 0.008902604 |
|    clip_fraction        | 0.0676      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.67       |
|    explained_variance   | 7.49e-05    |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0469     |
|    n_updates            | 2640        |
|    policy_gradient_loss | -0.00447    |
|    std                  | 0.92        |
|    value_loss           | 1.72        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 113          |
|    ep_rew_mean          | 0.0676       |
| time/                   |              |
|    fps                  | 95           |
|    iterations           | 31           |
|    time_elapsed         | 83           |
|    total_timesteps      | 68096        |
| train/                  |              |
|    approx_kl            | 0.0029541801 |
|    clip_fraction        | 0.0297       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.67        |
|    explained_variance   | -0.0025      |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0335      |
|    n_updates            | 2650         |
|    policy_gradient_loss | -0.00193     |
|    std                  | 0.919        |
|    value_loss           | 0.0029       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 113          |
|    ep_rew_mean          | 0.0654       |
| time/                   |              |
|    fps                  | 95           |
|    iterations           | 32           |
|    time_elapsed         | 86           |
|    total_timesteps      | 68352        |
| train/                  |              |
|    approx_kl            | 0.0046455692 |
|    clip_fraction        | 0.0852       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.67        |
|    explained_variance   | 0.019        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0412      |
|    n_updates            | 2660         |
|    policy_gradient_loss | -0.00928     |
|    std                  | 0.916        |
|    value_loss           | 0.00275      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 113         |
|    ep_rew_mean          | 0.0656      |
| time/                   |             |
|    fps                  | 95          |
|    iterations           | 33          |
|    time_elapsed         | 88          |
|    total_timesteps      | 68608       |
| train/                  |             |
|    approx_kl            | 0.004660584 |
|    clip_fraction        | 0.0531      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.66       |
|    explained_variance   | -0.0171     |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0217     |
|    n_updates            | 2670        |
|    policy_gradient_loss | -0.00175    |
|    std                  | 0.917       |
|    value_loss           | 0.00248     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 112         |
|    ep_rew_mean          | 0.277       |
| time/                   |             |
|    fps                  | 95          |
|    iterations           | 34          |
|    time_elapsed         | 91          |
|    total_timesteps      | 68864       |
| train/                  |             |
|    approx_kl            | 0.008431615 |
|    clip_fraction        | 0.131       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.67       |
|    explained_variance   | 0.00693     |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0419     |
|    n_updates            | 2680        |
|    policy_gradient_loss | -0.00942    |
|    std                  | 0.921       |
|    value_loss           | 0.00282     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 112         |
|    ep_rew_mean          | 0.278       |
| time/                   |             |
|    fps                  | 95          |
|    iterations           | 35          |
|    time_elapsed         | 94          |
|    total_timesteps      | 69120       |
| train/                  |             |
|    approx_kl            | 0.009376379 |
|    clip_fraction        | 0.107       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.67       |
|    explained_variance   | 1.22e-05    |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0307     |
|    n_updates            | 2690        |
|    policy_gradient_loss | -0.00844    |
|    std                  | 0.92        |
|    value_loss           | 1.72        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 113         |
|    ep_rew_mean          | 0.0669      |
| time/                   |             |
|    fps                  | 95          |
|    iterations           | 36          |
|    time_elapsed         | 96          |
|    total_timesteps      | 69376       |
| train/                  |             |
|    approx_kl            | 0.007238204 |
|    clip_fraction        | 0.0508      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.67       |
|    explained_variance   | 0.00206     |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0109     |
|    n_updates            | 2700        |
|    policy_gradient_loss | -0.00424    |
|    std                  | 0.921       |
|    value_loss           | 0.00254     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 112          |
|    ep_rew_mean          | 0.277        |
| time/                   |              |
|    fps                  | 95           |
|    iterations           | 37           |
|    time_elapsed         | 99           |
|    total_timesteps      | 69632        |
| train/                  |              |
|    approx_kl            | 0.0032191724 |
|    clip_fraction        | 0.0711       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.68        |
|    explained_variance   | -0.0082      |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0335      |
|    n_updates            | 2710         |
|    policy_gradient_loss | -0.00619     |
|    std                  | 0.923        |
|    value_loss           | 0.00295      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 110         |
|    ep_rew_mean          | 0.49        |
| time/                   |             |
|    fps                  | 94          |
|    iterations           | 38          |
|    time_elapsed         | 102         |
|    total_timesteps      | 69888       |
| train/                  |             |
|    approx_kl            | 0.008748273 |
|    clip_fraction        | 0.114       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.68       |
|    explained_variance   | 0.000168    |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0307     |
|    n_updates            | 2720        |
|    policy_gradient_loss | -0.00309    |
|    std                  | 0.926       |
|    value_loss           | 1.71        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 110          |
|    ep_rew_mean          | 0.491        |
| time/                   |              |
|    fps                  | 94           |
|    iterations           | 39           |
|    time_elapsed         | 105          |
|    total_timesteps      | 70144        |
| train/                  |              |
|    approx_kl            | 0.0046358495 |
|    clip_fraction        | 0.0234       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.69        |
|    explained_variance   | -1.43e-05    |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0223      |
|    n_updates            | 2730         |
|    policy_gradient_loss | -0.00203     |
|    std                  | 0.927        |
|    value_loss           | 1.71         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 110         |
|    ep_rew_mean          | 0.491       |
| time/                   |             |
|    fps                  | 94          |
|    iterations           | 40          |
|    time_elapsed         | 108         |
|    total_timesteps      | 70400       |
| train/                  |             |
|    approx_kl            | 0.004646226 |
|    clip_fraction        | 0.068       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.69       |
|    explained_variance   | 0.00688     |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0397     |
|    n_updates            | 2740        |
|    policy_gradient_loss | -0.00536    |
|    std                  | 0.927       |
|    value_loss           | 0.00276     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 110         |
|    ep_rew_mean          | 0.493       |
| time/                   |             |
|    fps                  | 94          |
|    iterations           | 41          |
|    time_elapsed         | 110         |
|    total_timesteps      | 70656       |
| train/                  |             |
|    approx_kl            | 0.003228128 |
|    clip_fraction        | 0.0367      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.68       |
|    explained_variance   | 0.00801     |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0251     |
|    n_updates            | 2750        |
|    policy_gradient_loss | -0.0028     |
|    std                  | 0.925       |
|    value_loss           | 0.00277     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 110          |
|    ep_rew_mean          | 0.495        |
| time/                   |              |
|    fps                  | 94           |
|    iterations           | 42           |
|    time_elapsed         | 113          |
|    total_timesteps      | 70912        |
| train/                  |              |
|    approx_kl            | 0.0025932943 |
|    clip_fraction        | 0.00117      |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.68        |
|    explained_variance   | 0.000789     |
|    learning_rate        | 0.0003       |
|    loss                 | -0.021       |
|    n_updates            | 2760         |
|    policy_gradient_loss | -0.000542    |
|    std                  | 0.922        |
|    value_loss           | 0.00274      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 110          |
|    ep_rew_mean          | 0.497        |
| time/                   |              |
|    fps                  | 95           |
|    iterations           | 43           |
|    time_elapsed         | 115          |
|    total_timesteps      | 71168        |
| train/                  |              |
|    approx_kl            | 0.0024048141 |
|    clip_fraction        | 0.0125       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.68        |
|    explained_variance   | 0.00362      |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0265      |
|    n_updates            | 2770         |
|    policy_gradient_loss | -0.00223     |
|    std                  | 0.923        |
|    value_loss           | 0.00242      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 110         |
|    ep_rew_mean          | 0.497       |
| time/                   |             |
|    fps                  | 95          |
|    iterations           | 44          |
|    time_elapsed         | 118         |
|    total_timesteps      | 71424       |
| train/                  |             |
|    approx_kl            | 0.004537644 |
|    clip_fraction        | 0.0129      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.68       |
|    explained_variance   | 0.00355     |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0278     |
|    n_updates            | 2780        |
|    policy_gradient_loss | -0.00266    |
|    std                  | 0.92        |
|    value_loss           | 0.00254     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 110         |
|    ep_rew_mean          | 0.494       |
| time/                   |             |
|    fps                  | 95          |
|    iterations           | 45          |
|    time_elapsed         | 121         |
|    total_timesteps      | 71680       |
| train/                  |             |
|    approx_kl            | 0.003455035 |
|    clip_fraction        | 0.0117      |
|    clip_range           | 0.2         |
