Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
---------------------------------
| rollout/           |          |
|    time_elapsed         | 27           |
|    total_timesteps      | 1280         |
| train/                  |              |
|    approx_kl            | 0.0058565694 |
|    clip_fraction        | 0.0605       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.84        |
|    explained_variance   | -0.0099      |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0397      |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.00697     |
|    std                  | 1            |
|    value_loss           | 0.0035       |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 120           |
|    ep_rew_mean          | -1.2          |
| time/                   |               |
|    fps                  | 47            |
|    iterations           | 6             |
|    time_elapsed         | 32            |
|    total_timesteps      | 1536          |
| train/                  |               |
|    approx_kl            | 0.00038005598 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -2.84         |
|    explained_variance   | 0.173         |
|    learning_rate        | 0.0003        |
|    loss                 | -0.0327       |
|    n_updates            | 50            |
|    policy_gradient_loss | 1.42e-05      |
|    std                  | 1             |
|    value_loss           | 0.00286       |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 120          |
|    ep_rew_mean          | -1.2         |
| time/                   |              |
|    fps                  | 47           |
|    iterations           | 7            |
|    time_elapsed         | 37           |
|    total_timesteps      | 1792         |
| train/                  |              |
|    approx_kl            | 0.0082915425 |
|    clip_fraction        | 0.0504       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.83        |
|    explained_variance   | 0.139        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0348      |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.00555     |
|    std                  | 0.995        |
|    value_loss           | 0.00214      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.2        |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 8           |
|    time_elapsed         | 43          |
|    total_timesteps      | 2048        |
| train/                  |             |
|    approx_kl            | 0.006356934 |
|    clip_fraction        | 0.0906      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.83       |
|    explained_variance   | 0.46        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0329     |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.00873    |
|    std                  | 0.996       |
|    value_loss           | 0.00157     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.2        |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 9           |
|    time_elapsed         | 48          |
|    total_timesteps      | 2304        |
| train/                  |             |
|    approx_kl            | 0.005468875 |
|    clip_fraction        | 0.0512      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.83       |
|    explained_variance   | -0.278      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.011      |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.00412    |
|    std                  | 0.998       |
|    value_loss           | 0.00123     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 120          |
|    ep_rew_mean          | -1.2         |
| time/                   |              |
|    fps                  | 47           |
|    iterations           | 10           |
|    time_elapsed         | 54           |
|    total_timesteps      | 2560         |
| train/                  |              |
|    approx_kl            | 0.0036577242 |
|    clip_fraction        | 0.0187       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.83        |
|    explained_variance   | 0.782        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0345      |
|    n_updates            | 90           |
|    policy_gradient_loss | -0.00489     |
|    std                  | 0.998        |
|    value_loss           | 0.000853     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.2        |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 11          |
|    time_elapsed         | 59          |
|    total_timesteps      | 2816        |
| train/                  |             |
|    approx_kl            | 0.005007421 |
|    clip_fraction        | 0.059       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.84       |
|    explained_variance   | 0.831       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0432     |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.00525    |
|    std                  | 1           |
|    value_loss           | 0.00103     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 120          |
|    ep_rew_mean          | -1.2         |
| time/                   |              |
|    fps                  | 47           |
|    iterations           | 12           |
|    time_elapsed         | 64           |
|    total_timesteps      | 3072         |
| train/                  |              |
|    approx_kl            | 0.0098712295 |
|    clip_fraction        | 0.118        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.84        |
|    explained_variance   | 0.387        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0537      |
|    n_updates            | 110          |
|    policy_gradient_loss | -0.00952     |
|    std                  | 1            |
|    value_loss           | 0.000455     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.2        |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 13          |
|    time_elapsed         | 70          |
|    total_timesteps      | 3328        |
| train/                  |             |
|    approx_kl            | 0.008338743 |
|    clip_fraction        | 0.0496      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.84       |
|    explained_variance   | 0.34        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00469    |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.00603    |
|    std                  | 1           |
|    value_loss           | 0.000329    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 120          |
|    ep_rew_mean          | -1.2         |
| time/                   |              |
|    fps                  | 47           |
|    iterations           | 14           |
|    time_elapsed         | 75           |
|    total_timesteps      | 3584         |
| train/                  |              |
|    approx_kl            | 0.0065204045 |
|    clip_fraction        | 0.0625       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.84        |
|    explained_variance   | 0.767        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0271      |
|    n_updates            | 130          |
|    policy_gradient_loss | -0.00588     |
|    std                  | 1            |
|    value_loss           | 0.00024      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 120          |
|    ep_rew_mean          | -1.2         |
| time/                   |              |
|    fps                  | 47           |
|    iterations           | 15           |
|    time_elapsed         | 81           |
|    total_timesteps      | 3840         |
| train/                  |              |
|    approx_kl            | 0.0012098409 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.84        |
|    explained_variance   | 0.602        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0331      |
|    n_updates            | 140          |
|    policy_gradient_loss | -0.000281    |
|    std                  | 1            |
|    value_loss           | 0.000145     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.2        |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 16          |
|    time_elapsed         | 86          |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.006421346 |
|    clip_fraction        | 0.0535      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.85       |
|    explained_variance   | 0.352       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0587     |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.00655    |
|    std                  | 1.01        |
|    value_loss           | 0.000191    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 120        |
|    ep_rew_mean          | -1.2       |
| time/                   |            |
|    fps                  | 47         |
|    iterations           | 17         |
|    time_elapsed         | 91         |
|    total_timesteps      | 4352       |
| train/                  |            |
|    approx_kl            | 0.00486519 |
|    clip_fraction        | 0.032      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.85      |
|    explained_variance   | 0.451      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0393    |
|    n_updates            | 160        |
|    policy_gradient_loss | -0.00436   |
|    std                  | 1          |
|    value_loss           | 9.36e-05   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.2        |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 18          |
|    time_elapsed         | 97          |
|    total_timesteps      | 4608        |
| train/                  |             |
|    approx_kl            | 0.007481233 |
|    clip_fraction        | 0.0602      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.85       |
|    explained_variance   | 0.567       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0266     |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.00533    |
|    std                  | 1           |
|    value_loss           | 9.33e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.2        |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 19          |
|    time_elapsed         | 102         |
|    total_timesteps      | 4864        |
| train/                  |             |
|    approx_kl            | 0.006761282 |
|    clip_fraction        | 0.025       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.84       |
|    explained_variance   | 0.856       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0299     |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.00349    |
|    std                  | 1           |
|    value_loss           | 4.6e-05     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 120          |
|    ep_rew_mean          | -1.2         |
| time/                   |              |
|    fps                  | 47           |
|    iterations           | 20           |
|    time_elapsed         | 108          |
|    total_timesteps      | 5120         |
| train/                  |              |
|    approx_kl            | 0.0059880232 |
|    clip_fraction        | 0.0437       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.83        |
|    explained_variance   | 0.895        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0439      |
|    n_updates            | 190          |
|    policy_gradient_loss | -0.00577     |
|    std                  | 0.994        |
|    value_loss           | 6.79e-05     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.2        |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 21          |
|    time_elapsed         | 113         |
|    total_timesteps      | 5376        |
| train/                  |             |
|    approx_kl            | 0.009363207 |
|    clip_fraction        | 0.0594      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.82       |
|    explained_variance   | 0.703       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0327     |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.0057     |
|    std                  | 0.989       |
|    value_loss           | 3.09e-05    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 120          |
|    ep_rew_mean          | -1.2         |
| time/                   |              |
|    fps                  | 47           |
|    iterations           | 22           |
|    time_elapsed         | 119          |
|    total_timesteps      | 5632         |
| train/                  |              |
|    approx_kl            | 0.0065808087 |
|    clip_fraction        | 0.0762       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.81        |
|    explained_variance   | 0.924        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0382      |
|    n_updates            | 210          |
|    policy_gradient_loss | -0.00889     |
|    std                  | 0.984        |
|    value_loss           | 1.77e-05     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 120          |
|    ep_rew_mean          | -1.2         |
| time/                   |              |
|    fps                  | 47           |
|    iterations           | 23           |
|    time_elapsed         | 124          |
|    total_timesteps      | 5888         |
| train/                  |              |
|    approx_kl            | 0.0009628942 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.8         |
|    explained_variance   | 0.96         |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0292      |
|    n_updates            | 220          |
|    policy_gradient_loss | -0.000355    |
|    std                  | 0.982        |
|    value_loss           | 1.03e-05     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.2        |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 24          |
|    time_elapsed         | 129         |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.003890081 |
|    clip_fraction        | 0.0082      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.8        |
|    explained_variance   | 0.762       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0276     |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.00285    |
|    std                  | 0.986       |
|    value_loss           | 1.04e-05    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 120          |
|    ep_rew_mean          | -1.2         |
| time/                   |              |
|    fps                  | 47           |
|    iterations           | 25           |
|    time_elapsed         | 135          |
|    total_timesteps      | 6400         |
| train/                  |              |
|    approx_kl            | 0.0075110663 |
|    clip_fraction        | 0.0836       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.8         |
|    explained_variance   | 0.926        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0378      |
|    n_updates            | 240          |
|    policy_gradient_loss | -0.00683     |
|    std                  | 0.981        |
|    value_loss           | 1.36e-05     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.2        |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 26          |
|    time_elapsed         | 140         |
|    total_timesteps      | 6656        |
| train/                  |             |
|    approx_kl            | 0.013396336 |
|    clip_fraction        | 0.139       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.8        |
|    explained_variance   | 0.963       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0502     |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.0169     |
|    std                  | 0.98        |
|    value_loss           | 1.47e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.2        |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 27          |
|    time_elapsed         | 146         |
|    total_timesteps      | 6912        |
| train/                  |             |
|    approx_kl            | 0.006485488 |
|    clip_fraction        | 0.0574      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.8        |
|    explained_variance   | 0.914       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0355     |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.00776    |
|    std                  | 0.98        |
|    value_loss           | 7.01e-06    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.2        |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 28          |
|    time_elapsed         | 151         |
|    total_timesteps      | 7168        |
| train/                  |             |
|    approx_kl            | 0.006752327 |
|    clip_fraction        | 0.0695      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.8        |
|    explained_variance   | 0.963       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0311     |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.00555    |
|    std                  | 0.981       |
|    value_loss           | 3.81e-06    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 120          |
|    ep_rew_mean          | -1.2         |
| time/                   |              |
|    fps                  | 47           |
|    iterations           | 29           |
|    time_elapsed         | 156          |
|    total_timesteps      | 7424         |
| train/                  |              |
|    approx_kl            | 0.0069378903 |
|    clip_fraction        | 0.105        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.8         |
|    explained_variance   | 0.976        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0574      |
|    n_updates            | 280          |
|    policy_gradient_loss | -0.0121      |
|    std                  | 0.98         |
|    value_loss           | 2.07e-06     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.2        |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 30          |
|    time_elapsed         | 162         |
|    total_timesteps      | 7680        |
| train/                  |             |
|    approx_kl            | 0.008221022 |
|    clip_fraction        | 0.0344      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.79       |
|    explained_variance   | 0.984       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0343     |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.00354    |
|    std                  | 0.979       |
|    value_loss           | 4.06e-07    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.2        |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 31          |
|    time_elapsed         | 167         |
|    total_timesteps      | 7936        |
| train/                  |             |
|    approx_kl            | 0.010345759 |
|    clip_fraction        | 0.132       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.79       |
|    explained_variance   | 0.928       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0474     |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.0125     |
|    std                  | 0.975       |
|    value_loss           | 2.32e-06    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.2        |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 32          |
|    time_elapsed         | 173         |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.002507467 |
|    clip_fraction        | 0.00547     |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.78       |
|    explained_variance   | 0.969       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0334     |
|    n_updates            | 310         |
|    policy_gradient_loss | -0.00129    |
|    std                  | 0.969       |
|    value_loss           | 3.19e-06    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 120        |
|    ep_rew_mean          | -1.2       |
| time/                   |            |
|    fps                  | 47         |
|    iterations           | 33         |
|    time_elapsed         | 178        |
|    total_timesteps      | 8448       |
| train/                  |            |
|    approx_kl            | 0.00690761 |
|    clip_fraction        | 0.0164     |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.77      |
|    explained_variance   | 0.958      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0724    |
|    n_updates            | 320        |
|    policy_gradient_loss | -0.00346   |
|    std                  | 0.963      |
|    value_loss           | 8.54e-07   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.2        |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 34          |
|    time_elapsed         | 184         |
|    total_timesteps      | 8704        |
| train/                  |             |
|    approx_kl            | 0.007634405 |
|    clip_fraction        | 0.0703      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.76       |
|    explained_variance   | 0.966       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0345     |
|    n_updates            | 330         |
|    policy_gradient_loss | -0.00675    |
|    std                  | 0.962       |
|    value_loss           | 8.78e-07    |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 120       |
|    ep_rew_mean          | -1.2      |
| time/                   |           |
|    fps                  | 47        |
|    iterations           | 35        |
|    time_elapsed         | 189       |
|    total_timesteps      | 8960      |
| train/                  |           |
|    approx_kl            | 0.0096816 |
|    clip_fraction        | 0.0648    |
|    clip_range           | 0.2       |
|    entropy_loss         | -2.75     |
|    explained_variance   | 0.957     |
|    learning_rate        | 0.0003    |
|    loss                 | -0.0469   |
|    n_updates            | 340       |
|    policy_gradient_loss | -0.00871  |
|    std                  | 0.956     |
|    value_loss           | 2.32e-06  |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.2        |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 36          |
|    time_elapsed         | 194         |
|    total_timesteps      | 9216        |
| train/                  |             |
|    approx_kl            | 0.010062303 |
|    clip_fraction        | 0.121       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.74       |
|    explained_variance   | 0.912       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0645     |
|    n_updates            | 350         |
|    policy_gradient_loss | -0.0132     |
|    std                  | 0.955       |
|    value_loss           | 2.15e-06    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 120          |
|    ep_rew_mean          | -1.2         |
| time/                   |              |
|    fps                  | 47           |
|    iterations           | 37           |
|    time_elapsed         | 200          |
|    total_timesteps      | 9472         |
| train/                  |              |
|    approx_kl            | 0.0076279687 |
|    clip_fraction        | 0.077        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.74        |
|    explained_variance   | 0.982        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0308      |
|    n_updates            | 360          |
|    policy_gradient_loss | -0.00459     |
|    std                  | 0.95         |
|    value_loss           | 3.04e-07     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 120          |
|    ep_rew_mean          | -1.2         |
| time/                   |              |
|    fps                  | 47           |
|    iterations           | 38           |
|    time_elapsed         | 205          |
|    total_timesteps      | 9728         |
| train/                  |              |
|    approx_kl            | 0.0045358483 |
|    clip_fraction        | 0.0219       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.73        |
|    explained_variance   | 0.969        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0206      |
|    n_updates            | 370          |
|    policy_gradient_loss | -0.00259     |
|    std                  | 0.952        |
|    value_loss           | 4.83e-07     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.2        |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 39          |
|    time_elapsed         | 211         |
|    total_timesteps      | 9984        |
| train/                  |             |
|    approx_kl            | 0.006042803 |
|    clip_fraction        | 0.0418      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.73       |
|    explained_variance   | 0.973       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0245     |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.00427    |
|    std                  | 0.946       |
|    value_loss           | 1.01e-06    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.2        |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 40          |
|    time_elapsed         | 216         |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.007193306 |
|    clip_fraction        | 0.0332      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.72       |
|    explained_variance   | 0.946       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.023      |
|    n_updates            | 390         |
|    policy_gradient_loss | -0.00326    |
|    std                  | 0.944       |
|    value_loss           | 1.23e-06    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 120          |
|    ep_rew_mean          | -1.2         |
| time/                   |              |
|    fps                  | 47           |
|    iterations           | 41           |
|    time_elapsed         | 222          |
|    total_timesteps      | 10496        |
| train/                  |              |
|    approx_kl            | 0.0049959635 |
|    clip_fraction        | 0.043        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.72        |
|    explained_variance   | 0.966        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0304      |
|    n_updates            | 400          |
|    policy_gradient_loss | -0.00318     |
|    std                  | 0.948        |
|    value_loss           | 1.08e-06     |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 120        |
|    ep_rew_mean          | -1.2       |
| time/                   |            |
|    fps                  | 47         |
|    iterations           | 42         |
|    time_elapsed         | 227        |
|    total_timesteps      | 10752      |
| train/                  |            |
|    approx_kl            | 0.00568792 |
|    clip_fraction        | 0.0602     |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.73      |
|    explained_variance   | 0.974      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0229    |
|    n_updates            | 410        |
|    policy_gradient_loss | -0.00551   |
|    std                  | 0.948      |
|    value_loss           | 8.19e-07   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.2        |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 43          |
|    time_elapsed         | 232         |
|    total_timesteps      | 11008       |
| train/                  |             |
|    approx_kl            | 0.004253044 |
|    clip_fraction        | 0.0246      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.73       |
|    explained_variance   | 0.974       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0241     |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.00204    |
|    std                  | 0.947       |
|    value_loss           | 5.84e-07    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.2        |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 44          |
|    time_elapsed         | 238         |
|    total_timesteps      | 11264       |
| train/                  |             |
|    approx_kl            | 0.007609342 |
|    clip_fraction        | 0.093       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.73       |
|    explained_variance   | 0.978       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0263     |
|    n_updates            | 430         |
|    policy_gradient_loss | -0.00821    |
|    std                  | 0.945       |
|    value_loss           | 1.54e-07    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -1.2        |
| time/                   |             |
|    fps                  | 47          |
|    iterations           | 45          |
|    time_elapsed         | 243         |
|    total_timesteps      | 11520       |
| train/                  |             |
|    approx_kl            | 0.007174583 |
|    clip_fraction        | 0.0965      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.72       |
|    explained_variance   | 0.97        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0317     |
|    n_updates            | 440         |
|    policy_gradient_loss | -0.0107     |
